INMUEBLE;PROVINCIA;MUNICIPIO;AFECTACIÓN;SUBTIPO;ESTADO INMUEBLE;ADSCRIPCIÓN;CERTIFICADO ENERGÉTICO (S/N);INSCRITO REGISTRO PROPIEDAD (S/N);LICENCIA APERTURA (S/N);FECHA ALTA;FECHA BAJA;FECHA BIC;SUPERFICIE CONSTRUIDA;CALIFICACIÓN SUELO CASTELLANO;CALIFICACIÓN SUELO VALENCIANO;CLASIFICACIÓN SUELO CASTELLANO;CLASIFICACIÓN SUELO VALENCIANO;DERECHO TERCERO CASTELLANO;DERECHO TERCERO VALENCIANO;NATURALEZA CASTELLANO;NATURALEZA VALENCIANO;NIVEL CASTELLANO;NIVEL VALENCIANO;SITUACIÓN ARRENDAMIENTO CASTELLANO;SITUACIÓN ARRENDAMIENTO VALENCIANO;USO PORMENOR CASTELLANO;USO PORMENOR VALENCIANO
Centro De Tecnificacion De Pelota (Centre Tecnificacio De  Pilota);Valencia/València;Moncada;Deportivo;Complejo;Inventariado;Presidencia;N;S;S;2002/02/28 00:00:00.000000000;;;3472,52;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Autorizacion;Autorizacion;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro De Tecnificación De Alicante;Alicante/Alacant;Alacant/Alicante;Deportivo;Edificio;Inventariado;Presidencia;N;N;S;1993/01/18 00:00:00.000000000;;;15931,76;Equipamientos Y Servicios;Equipamientos Y Servicios;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro De Trasfusiones De La Comunidad Valenciana;Valencia/València;València;Sanitario;Local;Inventariado;Conselleria De Sanidad;N;N;N;2020/04/10 00:00:00.000000000;;;2110,0;Sistema General Servicio Publico;Sistema General Servicio Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro De Valoración De Personas Con Diversidad Funcional;Castellón/Castelló;Castelló de la Plana/Castellón de la Plana;Asistencial Social;Local;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;N;N;2023/01/30 00:00:00.000000000;;;476,0;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Arrendatario;Arrendatari;Desconocido;Desconegut
Centro Del Servef;Valencia/València;Alzira;Trabajo, Empleo Y Formación;Edificio;Inventariado;Servei Valencià D'Ocupació I Formació;N;S;N;1983/07/01 00:00:00.000000000;;;901,78;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Educativo-Cultural;Educativo-Cultural
Centro Deportivo Y De La Tercera Edad De Caudete De Las Fuentes;Valencia/València;Caudete de las Fuentes;Patrimonial;Edificio;Inventariado;Dirección General De Patrimonio;N;S;N;1992/01/21 00:00:00.000000000;;;415,3;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Cesion De Uso;Cesion De Uso;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Otra;Altra;Educativo-Cultural;Educativo-Cultural
Centro Educacion Especial Gragnasidi    Centro Publico Municipal De Personas Adultas (Antes I.E.S. Josep Iborra De Benissa);Alicante/Alacant;Benissa;Docente;Edificio;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;1988/03/08 00:00:00.000000000;;;3408,58;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Autorizacion;Autorizacion;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Docente;Docente
Centro Especial De Atencion A Los Mayores Antiguo Hogar Del Pensionista;Valencia/València;Sagunt/Sagunto;Asistencial Social;Edificio;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;S;N;1987/02/03 00:00:00.000000000;;;1065,9;Centro Histórico Protegido;Centro Histórico Protegido;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Asistencial;Asistencial
Centro Especial De Atención A Los Mayores (Ceam) Constitución;Castellón/Castelló;Castelló de la Plana/Castellón de la Plana;Asistencial Social;Local;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;S;N;N;2022/11/22 00:00:00.000000000;;;232,0;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Arrendatario;Arrendatari;Desconocido;Desconegut
Centro Especialidades De Orihuela Antiguo Ambulatorio Nuestro Padre Jesus De Orihuela;Alicante/Alacant;Orihuela;Sanitario;Edificio;Inventariado;Conselleria De Sanidad;N;N;N;1988/01/01 00:00:00.000000000;;;3117,49;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Sanitario;Sanitario
Centro Especializado Atencion A Mayores Ceam Jorge Juan (Antes Hogar De La Tercera Edad Jorge Juan);Valencia/València;València;Asistencial Social;Local;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;N;S;1985/01/23 00:00:00.000000000;;;583,4;Ensanche;Ensanche;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Especializado De Atencion A Los Mayores;Valencia/València;Torrent;Asistencial Social;Local;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;S;N;1985/01/23 00:00:00.000000000;;;1816,6;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Residencial Plurifamiliar;Residencial Plurifamiliar
Centro Especializado De Atencion A Los Mayores (Antes Hogar D Ela Tercera Edad De Alzira);Valencia/València;Alzira;Asistencial Social;Edificio;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;S;N;1985/01/23 00:00:00.000000000;;;1168,47;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Especializado De Atencion A Los Mayores (C.E.A.M.)  De Paterna Antiguo Hogar Del Pensionista;Valencia/València;Paterna;Asistencial Social;Edificio;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;S;N;1985/01/01 00:00:00.000000000;;;1043,64;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Especializado De Atencion A Los Mayores (C.E.A.M.) De Orihuela;Alicante/Alacant;Orihuela;Asistencial Social;Edificio;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;N;S;1985/03/08 00:00:00.000000000;;;1839,16;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Asistencial;Asistencial
Centro Especializado De Atencion A Los Mayores (Ceam) En El Grau De Castello;Castellón/Castelló;Castelló de la Plana/Castellón de la Plana;Asistencial Social;Local;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;S;N;2007/10/31 00:00:00.000000000;;;856,45;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Especializado De Atencion A Los Mayores Dr. Waksman;Valencia/València;València;Asistencial Social;Local;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;N;N;1985/01/23 00:00:00.000000000;;;1034,33;Ensanche;Ensanche;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Especializado De Atencion A Mayores;Castellón/Castelló;Borriana/Burriana;Asistencial Social;Edificio;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;S;N;2010/05/03 00:00:00.000000000;;;1268,87;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Educativo-Cultural;Educativo-Cultural
Centro Especializado De Atencion A Mayores De Catarroja (Antes Hogar De La Tercera Edad);Valencia/València;Catarroja;Asistencial Social;Edificio;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;S;N;1985/01/23 00:00:00.000000000;;;1009,2;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Asistencial;Asistencial
Centro Especializado De Atencion De Mayores: Local En Planta Baja;Alicante/Alacant;Castalla;Asistencial Social;Edificio;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;N;N;2007/10/31 00:00:00.000000000;;;399,54;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Especializado De Atencion Para Los Mayores (Ceam) De Nules;Castellón/Castelló;Nules;Asistencial Social;Edificio;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;N;N;1985/03/08 00:00:00.000000000;;;839,7;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Asistencial;Asistencial
Centro Especializado De Atención A Los Mayores, Cabanyal (Antes Centro De La Tercera Edad Cabañal);Valencia/València;València;Asistencial Social;Local;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;S;N;1985/01/23 00:00:00.000000000;;;1363,43;Centro Histórico Protegido;Centro Histórico Protegido;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Especializado De Atención A Mayores (Antes Hogar De La Tercera Edad De Gandia);Valencia/València;Gandia;Asistencial Social;Local;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;N;N;1985/01/01 00:00:00.000000000;;;1283,61;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Equipamientos;Equipamientos
Centro Especializado De Atención A Mayores - Islas Canarias;Valencia/València;València;Asistencial Social;Local;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;N;N;1985/01/23 00:00:00.000000000;;;1070,37;Ensanche;Ensanche;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Especializado De Atención A Mayores De Cullera (Antes Hogar De La Tercera Edad De Cullera);Valencia/València;Cullera;Asistencial Social;Edificio;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;N;N;1985/01/01 00:00:00.000000000;;;1084,84;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Sistema Local Servicio Publico;Sistema Local Servicio Publico
Centro Especializado De Atención Al Mayor De Pego (Antes Hogar De La Tercera Edad De Pego);Alicante/Alacant;Pego;Asistencial Social;Local;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;S;N;1985/01/01 00:00:00.000000000;;;662,06;Ensanche;Ensanche;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Residencial Plurifamiliar;Residencial Plurifamiliar
Centro Especifico Ceem Y Centro De Día Para Enfermos Mentales Cronicos;Alicante/Alacant;Alcoi/Alcoy;Asistencial Social;Edificio;Inventariado;Instituto Valenciano De Atención Social Y Sanitaria;N;N;N;2020/12/04 00:00:00.000000000;;;3169,49;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Asistencial;Asistencial
Centro Especifico De Educacion A Distancia (Ceed);Valencia/València;València;Docente;Edificio;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;N;N;1992/08/17 00:00:00.000000000;;;1161,0;Edificación Abierta;Edificación Abierta;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Sistema Local Educativo Cultural;Sistema Local Educativo Cultural
Centro Especifico Para Personas Con Enfermedad Mental La Bartola;Castellón/Castelló;Benicàssim/Benicasim;Asistencial Social;Complejo;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;S;N;1982/01/01 00:00:00.000000000;;;1729,95;Dotacional Publico;Dotacional Publico;Suelo No Urbanizable Comun;Suelo No Urbanizable Comun;Autorizacion;Autorizacion;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Educativo-Cultural;Educativo-Cultural
Centro Formación Ocupacional Y Continua De Hosteleria Y Turismo Domingo De Besa;Alicante/Alacant;Benidorm;Docente;Edificio;Inventariado;Turisme Comunitat Valenciana;N;S;N;1990/04/17 00:00:00.000000000;;;7151,84;Dotacional Publico;Dotacional Publico;Suelo Urbanizable Programado;Suelo Urbanizable Programado;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Educativo-Cultural;Educativo-Cultural
Centro Hospitalario/Sanitario (Antes Construccion Centro Hospitalario/Sanitario);Castellón/Castelló;Castelló de la Plana/Castellón de la Plana;Sanitario;Complejo;Inventariado;Conselleria De Sanidad;N;S;N;2005/04/20 00:00:00.000000000;;;1547,87;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Integrado De Formación Profesional “Battery Campus Sagunt”;Valencia/València;Sagunt/Sagunto;Docente;Suelo Urbano;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;2023/12/14 00:00:00.000000000;;;0,0;Terciario;Terciario;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Integrado Publico De Formacion Profesional Costa De Azahar.;Castellón/Castelló;Castelló de la Plana/Castellón de la Plana;Docente;Complejo;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;1986/01/01 00:00:00.000000000;;;5204,1;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Autorizacion;Autorizacion;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Educativo-Cultural;Educativo-Cultural
Centro Integrado Público De Formación Profesional Maritimo-Pesquero (Antes Instituto Politécnico Nacional Marítimo Pesquero Del Mediterraneo);Alicante/Alacant;Alacant/Alicante;Docente;Edificio;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;N;S;1983/02/26 00:00:00.000000000;;;5066,61;Desconocida;Desconeguda;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Interpretacion Del Paraje Natural La Dehesa -  Antigua Casilla De Peón Caminero;Castellón/Castelló;Soneja;Patrimonial;Edificio;Inventariado;Dirección General De Patrimonio;N;S;N;1984/08/01 00:00:00.000000000;;;306,72;Desconocida;Desconeguda;Suelo No Urbanizable Comun;Suelo No Urbanizable Comun;Cesion De Uso;Cesion De Uso;Patrimonial;Patrimonial;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Juvenil Los Palmerales;Alicante/Alacant;Elx/Elche;Cultural;Local;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;N;N;1984/07/18 00:00:00.000000000;;;196,0;Edificación Abierta;Edificación Abierta;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Residencial Plurifamiliar;Residencial Plurifamiliar
Centro Mujer Rural;Valencia/València;Yátova;Asistencial Social;Vivienda;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;N;N;2021/09/24 00:00:00.000000000;;;226,0;Desconocida;Desconeguda;Desconocida;Desconeguda;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Ocupacional De Disminuidos Psiquicos 108  La Xara Y Centro De Dia 248;Alicante/Alacant;Dénia;Asistencial Social;Edificio;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;S;N;1988/11/25 00:00:00.000000000;;;14640,0;Desconocida;Desconeguda;Suelo No Urbanizable Especial Proteccion;Suelo No Urbanizable Especial Proteccion;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Ocupacional De Vila-Real;Castellón/Castelló;Vila-real;Asistencial Social;Edificio;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;S;N;1989/11/06 00:00:00.000000000;;;1102,7;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Sistema Local Servicio Publico;Sistema Local Servicio Publico
Centro Ocupacional Discapacitados Psiquicos Hortes Velles;Valencia/València;Moixent/Mogente;Asistencial Social;Edificio;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;S;N;2007/10/17 00:00:00.000000000;;;2616,0;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Ocupacional La Tramoia;Alicante/Alacant;Elx/Elche;Asistencial Social;Complejo;Inventariado;Instituto Valenciano De Atención Social Y Sanitaria;N;S;N;1992/03/22 00:00:00.000000000;;;1550,99;Dotacional Publico;Dotacional Publico;Suelo Urbanizable;Suelo Urbanizable;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Educativo-Cultural;Educativo-Cultural
Centro Ocupacional Maigmo - Antiguo Centro Proteccion Menores San Juan De Dios;Alicante/Alacant;Sant Vicent del Raspeig/San Vicente del Raspeig;Asistencial Social;Complejo;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;S;N;1989/05/01 00:00:00.000000000;;;1390,92;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Concesion;Concesion;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Asistencial;Asistencial
Centro Ocupacional Rafalafena En El Antiguo Poligono Residencial Rafalafena;Castellón/Castelló;Castelló de la Plana/Castellón de la Plana;Asistencial Social;Edificio;Inventariado;Instituto Valenciano De Atención Social Y Sanitaria;N;S;N;1987/11/09 00:00:00.000000000;;;917,64;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Educativo-Cultural;Educativo-Cultural
Centro Para Personas Con Diversidad Funcional;Valencia/València;Llíria;Asistencial Social;Complejo;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;S;N;2021/08/12 00:00:00.000000000;;;2226,3;Equipamiento Comunitario Publico;Equipamiento Comunitario Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Permanente De Artesania En Terrenos Del Colegio Del Arte Mayor De La Seda;Valencia/València;València;Cultural;Edificio;Inventariado;Conselleria De  Innovacion, Industria, Comercio Y Turismo;N;S;N;1984/02/28 00:00:00.000000000;;;1271,94;Centro Histórico Protegido;Centro Histórico Protegido;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Cultural;Cultural
Centro Polivalente Para Personas Con Discapacidad Intelectual;Valencia/València;Cullera;Asistencial Social;Edificio;Inventariado;Instituto Valenciano De Atención Social Y Sanitaria;N;S;N;2008/12/04 00:00:00.000000000;;;0,0;Sistema Local De Servicios Publicos;Sistema Local De Servicios Publicos;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Publico De Formacion De Personas Adultas (S602)  (Antiguo Instituto De Formacion Profesional, Y Antes Inb);Alicante/Alacant;Xàbia/Jávea;Docente;Complejo;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;1983/07/01 00:00:00.000000000;;;1087,82;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Educativo-Cultural;Educativo-Cultural
Centro Publico Formación Personas Adultas Y Aulas E.O.I. (Antes I.E.S. Nº 2 Oleana I.F.P. Guía Centros C. Públ. For. Personas Ad. Antig. Esc. Zorita);Valencia/València;Requena;Docente;Complejo;Inventariado;Conselleria De Educacion Cultura  Universidades Y Empleo;N;S;N;1983/07/01 00:00:00.000000000;;;5722,65;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Publico Sanitario (Hospital De Torrevieja);Alicante/Alacant;Torrevieja;Sanitario;Edificio;Inventariado;Conselleria De Sanidad;N;N;N;2005/01/26 00:00:00.000000000;;;66194,0;Desconocida;Desconeguda;Suelo No Urbanizable Comun;Suelo No Urbanizable Comun;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Rehabilitación Personas Con Enfermedad Mental Y Centro De Dia Sant Pau  Cris 151/163 Cd;Valencia/València;València;Asistencial Social;Local;Inventariado;Vicepresid I Y Cons Servicios Sociales, Igualdad Y Vivienda;N;S;N;2002/01/21 00:00:00.000000000;;;876,08;Centro Histórico Protegido;Centro Histórico Protegido;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Salud;Alicante/Alacant;Orihuela;Sanitario;Suelo Urbano;Inventariado;Conselleria De Sanidad;N;S;N;2009/09/29 00:00:00.000000000;;;0,0;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Sanitario;Sanitario
Centro Salud Barrio Campamento;Valencia/València;Paterna;Sanitario;Edificio;Inventariado;Conselleria De Sanidad;N;S;N;2010/08/03 00:00:00.000000000;;;1481,37;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Salud Campoamor /Pza De America ) Pbaja Y Parte 1º Planta.;Alicante/Alacant;Alacant/Alicante;Sanitario;Local;Inventariado;Conselleria De Sanidad;N;S;N;2010/03/12 00:00:00.000000000;;;3264,3;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Salud De Cullera;Valencia/València;Cullera;Sanitario;Edificio;Inventariado;Conselleria De Sanidad;N;N;N;2009/06/02 00:00:00.000000000;;;211,2;Residencial;Residencial;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Salud De Montserrat;Valencia/València;Montserrat;Sanitario;Edificio;Inventariado;Conselleria De Sanidad;N;N;N;2019/05/07 00:00:00.000000000;;;1199,73;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Salud Gandia-Grau;Valencia/València;Gandia;Sanitario;Edificio;Inventariado;Conselleria De Sanidad;N;S;N;2010/10/22 00:00:00.000000000;;;1217,38;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Salud Peñiscola Calle Rio;Castellón/Castelló;Peníscola/Peñíscola;Sanitario;Edificio;Inventariado;Conselleria De Sanidad;N;S;N;2011/10/17 00:00:00.000000000;;;1485,76;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Servidumbre;Servidumbre;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Salud Pública Gandia (Antes Referencia A Salud Pública Comunitaria);Valencia/València;Gandia;Sanitario;Edificio;Inventariado;Conselleria De Sanidad;N;S;N;1992/05/26 00:00:00.000000000;;;856,0;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Sanitario;Sanitario
Centro Salud Rojales Ii Lo Marabu;Alicante/Alacant;Rojales;Sanitario;Edificio;Inventariado;Conselleria De Sanidad;N;S;N;2009/11/26 00:00:00.000000000;;;1114,24;Equipamiento Sanitario;Equipamiento Sanitario;Suelo Urbanizable No Programado;Suelo Urbanizable No Programado;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Salud San Agustin;Castellón/Castelló;Castelló de la Plana/Castellón de la Plana;Sanitario;Edificio;Inventariado;Conselleria De Sanidad;N;S;N;2007/06/25 00:00:00.000000000;;;1261,0;Dotacional Publico;Dotacional Publico;Suelo Urbano;Suelo Urbano;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Centro Salud Turis;Valencia/València;Turís;Sanitario;Edificio;Inventariado;Conselleria De Sanidad;N;S;N;2014/12/22 00:00:00.000000000;;;1189,81;Dotacional Publico;Dotacional Publico;Suelo No Urbanizable Comun;Suelo No Urbanizable Comun;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
